Country Name,Country Code,Education Expenditure,GDP,Gini Index,Literacy Rate,Employment Rate
United Arab Emirates,ARE,14.75561047,427000000000.0,26.4,98.12635803,78.787
Bulgaria,BGR,10.56167126,66370132238.0,41.3,98.41999817,52.348
Costa Rica,CRI,20.08245659,62420164992.0,48.0,98.04000092,52.41
Cyprus,CYP,12.73620987,25597301191.0,32.7,99.36000061,59.036
Ecuador,ECU,9.756010056,107000000000.0,45.4,94.48358917,62.787
Estonia,EST,14.25197411,30624720196.0,30.3,99.87000275,59.325
Guinea,GIN,11.50199986,11857030367.0,29.6,45.33000183,49.239
Croatia,HRV,10.7206068,61861145806.0,29.7,99.44999695,47.84
Hungary,HUN,10.36329174,161000000000.0,29.6,99.09999847,56.91
Lithuania,LTU,12.74449539,53751411409.0,35.7,99.83000183,57.404
Latvia,LVA,12.65317726,34429023435.0,35.1,99.88999939,55.66
Moldova,MDA,16.33657837,11252353421.0,25.7,99.59999847,71.937
Malta,MLT,12.65894127,15404393365.0,28.7,94.94000244,60.607
Poland,POL,11.16927338,589000000000.0,30.2,99.80000305,56.023
Portugal,PRT,9.709188461,242000000000.0,33.5,96.77999878,54.006
Romania,ROU,8.14435482,243000000000.0,35.8,99.15943146,48.215
Thailand,THA,11.87624741,507000000000.0,36.4,94.09999847,66.13
Ukraine,UKR,14.25187588,131000000000.0,26.1,100.0,49.269
